numerai_ticker,iex_ticker
PCHEM MK,5183-MK
HIBI MK,5199-MK
BAB MK,5210-MK
INRI MK,0166-MK
SWB MK,5211-MK
QLG MK,7084-MK
PBK MK,1295-MK
SKP MK,7155-MK
DBB MK,7148-MK
DLG MK,7277-MK
AAGB MK,5099-MK
NESZ MK,4707-MK
PMAH MK,8869-MK
PTG MK,6033-MK
GAM MK,5398-MK
TDC MK,5031-MK
VSI MK,6963-MK
CMS MK,2852-MK
MAHB MK,5014-MK
TNB MK,5347-MK
DIGI MK,6947-MK
HLBK MK,5819-MK
MBS MK,1171-MK
MISC MK,3816-MK
CIMB MK,1023-MK
PENT MK,7160-MK
T MK,4863-MK
AMM MK,1015-MK
IJM MK,3336-MK
KLK MK,2445-MK
MAY MK,1155-MK
MMC MK,2194-MK
MPI MK,3867-MK
PEP MK,4065-MK
BURSA MK,1818-MK
IHH MK,5225-MK
ASTRO MK,6399-MK
DOGT MK,7204-MK
WPRTS MK,5246-MK
FRCB MK,0128-MK
MYEG MK,0138-MK
SUCB MK,7106-MK
GENT MK,3182-MK
GENM MK,4715-MK
IOI MK,1961-MK
MSGB MK,8583-MK
SIME MK,4197-MK
RHBBANK MK,1066-MK
SDH MK,5279-MK
TTNP MK,5284-MK
HART MK,5168-MK
AXIATA MK,6888-MK
SDPL MK,4197-MK
AIB MK,8176-MK
GREATEC MK,0208-MK
MRDIY MK,5296-MK
MAXIS MK,6012-MK
PGOLD PM,PGOLD-PM
GTCAP PM,GTCAP-PM
MBT PM,MBT-PM
BDO PM,BDO-PM
ICT PM,ICT-PM
JGS PM,JGS-PM
ALI PM,ALI-PM
URC PM,URC-PM
ACEN PM,ACEN-PM
AC PM,AC-PM
MEG PM,MEG-PM
TEL PM,TEL-PM
SMPH PM,SMPH-PM
BPI PM,BPI-PM
GLO PM,GLO-PM
SECB PM,SECB-PM
JFC PM,JFC-PM
SM PM,SM-PM
CNPF PM,CNPF-PM
MPI PM,MPI-PM
AP PM,AP-PM
MER PM,MER-PM
CNVRG PM,CNVRG-PM
